id_order_line,id_order,date_opended,date_created,m_quantity,m_unit_price,m_unit_price_exc_vat,m_total_price_inc_vat,m_total_price_exc_vat,m_tax_percent,m_discount_amount,dim_type,dim_category,dim_name,dim_status,dim_category_translated,dim_name_translated
36303668,7901432,2017-04-29 20:38:13,2017-04-29 20:38:13,1,0,0,0,0,0.2,0,OPTION,Martini 15 cl,Gin,WAITING,Martini 15 cl,Gin
160656467,35669117,2018-07-18 12:55:12,2018-07-18 13:09:03,1,0,0,0,0,0.1,0,PRODUCT,WRAP DE SARRASIN,NYC,WAITING,BUCKWHEAT WRAP,NYC
127895661,27274572,2018-04-27 10:44:45,2018-04-27 10:49:04,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC
124934060,26512568,2018-04-19 10:35:06,2018-04-19 10:35:20,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC
83606925,16715607,2017-11-24 12:35:38,2017-11-24 12:36:19,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC
95576855,19444662,2018-01-17 11:34:34,2018-01-17 11:34:43,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC
122765839,25968886,2018-04-13 12:19:31,2018-04-13 12:21:41,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC
125356289,26620740,2018-04-20 10:32:37,2018-04-20 10:32:45,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC
101489716,20819250,2018-02-07 11:33:17,2018-02-07 11:38:27,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC
84390706,16892571,2017-11-28 11:56:39,2017-11-28 11:56:45,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC
106488507,21984050,2018-02-23 12:23:44,2018-02-23 12:25:02,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC
114793266,24024324,2018-03-22 11:53:50,2018-03-22 11:57:13,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC
127947863,27286723,2018-04-27 11:32:44,2018-04-27 11:32:53,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC
111820102,23298891,2018-03-13 12:12:33,2018-03-13 12:12:41,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC
92274868,18680419,2018-01-04 11:57:01,2018-01-04 11:57:10,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC
83301316,16650774,2017-11-23 11:37:20,2017-11-23 11:40:15,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC
109583453,22734016,2018-03-06 12:14:59,2018-03-06 12:15:41,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC
112829544,23567341,2018-03-16 12:48:08,2018-03-16 12:49:40,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC
167360278,37281514,2018-08-02 10:44:28,2018-08-02 10:50:43,1,0,0,0,0,0.1,0,PRODUCT,WRAP DE SARRASIN,NYC,IN_PROGRESS,BUCKWHEAT WRAP,NYC
144610104,31582765,2018-06-12 11:04:10,2018-06-12 11:05:37,1,0,0,0,0,0.1,0,PRODUCT,WRAP DE SARRASIN,NYC,IN_PROGRESS,BUCKWHEAT WRAP,NYC
161548516,35893365,2018-07-20 10:45:47,2018-07-20 10:47:30,1,0,0,0,0,0.1,0,PRODUCT,WRAP DE SARRASIN,NYC,IN_PROGRESS,BUCKWHEAT WRAP,NYC
76354952,15346325,2017-10-27 11:08:52,2017-10-27 11:10:07,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC
141945156,30880733,2018-06-05 11:28:25,2018-06-05 11:29:14,1,0,0,0,0,0.1,0,PRODUCT,WRAP DE SARRASIN,NYC,IN_PROGRESS,BUCKWHEAT WRAP,NYC
115181761,24122277,2018-03-23 12:03:09,2018-03-23 12:04:22,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC
