id_order_line,id_order,date_opended,date_created,m_quantity,m_unit_price,m_unit_price_exc_vat,m_total_price_inc_vat,m_total_price_exc_vat,m_tax_percent,m_discount_amount,dim_type,dim_category,dim_name,dim_status,dim_feature_type,dim_unit_measure,dim_unit_measure_display,dim_category_translated,dim_name_translated
36303668,7901432,29/04/2017 20:38:13,29/04/2017 20:38:13,1,0,0,0,0,0.2,0,OPTION,Martini 15 cl,Gin,WAITING,,,,Martini 15 cl,Gin
160656467,35669117,18/07/2018 12:55:12,18/07/2018 13:09:03,1,0,0,0,0,0.1,0,PRODUCT,WRAP DE SARRASIN,NYC,WAITING,,,,BUCKWHEAT WRAP,NYC
127895661,27274572,27/04/2018 10:44:45,27/04/2018 10:49:04,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,,,,BREIZH&#39;N&#39;ROLL,NYC
124934060,26512568,19/04/2018 10:35:06,19/04/2018 10:35:20,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,,,,BREIZH&#39;N&#39;ROLL,NYC
83606925,16715607,24/11/2017 12:35:38,24/11/2017 12:36:19,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,,,,BREIZH&#39;N&#39;ROLL,NYC
95576855,19444662,17/01/2018 11:34:34,17/01/2018 11:34:43,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,,,,BREIZH&#39;N&#39;ROLL,NYC
122765839,25968886,13/04/2018 12:19:31,13/04/2018 12:21:41,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,,,,BREIZH&#39;N&#39;ROLL,NYC
125356289,26620740,20/04/2018 10:32:37,20/04/2018 10:32:45,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,,,,BREIZH&#39;N&#39;ROLL,NYC
101489716,20819250,07/02/2018 11:33:17,07/02/2018 11:38:27,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,,,,BREIZH&#39;N&#39;ROLL,NYC
84390706,16892571,28/11/2017 11:56:39,28/11/2017 11:56:45,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,,,,BREIZH&#39;N&#39;ROLL,NYC
106488507,21984050,23/02/2018 12:23:44,23/02/2018 12:25:02,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,,,,BREIZH&#39;N&#39;ROLL,NYC
114793266,24024324,22/03/2018 11:53:50,22/03/2018 11:57:13,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,,,,BREIZH&#39;N&#39;ROLL,NYC
127947863,27286723,27/04/2018 11:32:44,27/04/2018 11:32:53,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,,,,BREIZH&#39;N&#39;ROLL,NYC
111820102,23298891,13/03/2018 12:12:33,13/03/2018 12:12:41,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,,,,BREIZH&#39;N&#39;ROLL,NYC
92274868,18680419,04/01/2018 11:57:01,04/01/2018 11:57:10,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,,,,BREIZH&#39;N&#39;ROLL,NYC
83301316,16650774,23/11/2017 11:37:20,23/11/2017 11:40:15,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,,,,BREIZH&#39;N&#39;ROLL,NYC
109583453,22734016,06/03/2018 12:14:59,06/03/2018 12:15:41,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,,,,BREIZH&#39;N&#39;ROLL,NYC
112829544,23567341,16/03/2018 12:48:08,16/03/2018 12:49:40,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,,,,BREIZH&#39;N&#39;ROLL,NYC
167360278,37281514,02/08/2018 10:44:28,02/08/2018 10:50:43,1,0,0,0,0,0.1,0,PRODUCT,WRAP DE SARRASIN,NYC,IN_PROGRESS,,,,BUCKWHEAT WRAP,NYC
144610104,31582765,12/06/2018 11:04:10,12/06/2018 11:05:37,1,0,0,0,0,0.1,0,PRODUCT,WRAP DE SARRASIN,NYC,IN_PROGRESS,,,,BUCKWHEAT WRAP,NYC
