id_order,id_store,id_waiter,id_device,date_opened,date_closed,dim_status,dim_source,m_nb_customer,m_cached_payed,m_cached_price,time,meal_types,store_date_created,dim_zipcode,dim_country,dim_currency
112572333,7786,24920.0,14854.0,2020-01-12 16:03:02,2020-01-12 16:03:13,CLOSED,Tiller order,1,11.9,11.9,16:03:02,Lunch,2018-09-15 12:46:15,75019,FR,EUR
59462366,7786,15509.0,14854.0,2019-02-13 09:43:34,2019-02-13 09:51:15,CLOSED,Tiller iPAD,1,17.2,17.2,09:43:34,Breakfast,2018-09-15 12:46:15,75019,FR,EUR
96305027,7786,15509.0,14854.0,2019-10-05 10:33:39,2019-10-05 10:34:55,CLOSED,Tiller order,1,18.2,18.2,10:33:39,Breakfast,2018-09-15 12:46:15,75019,FR,EUR
96761931,7786,15509.0,14854.0,2019-10-08 08:21:08,2019-10-08 08:22:21,CLOSED,Tiller order,1,12.74,12.74,08:21:08,Breakfast,2018-09-15 12:46:15,75019,FR,EUR
98310606,7786,15509.0,14854.0,2019-10-16 17:10:28,2019-10-16 17:12:21,CLOSED,Tiller order,1,33.3,33.3,17:10:28,Lunch,2018-09-15 12:46:15,75019,FR,EUR
100110392,7786,15509.0,14854.0,2019-10-26 16:02:52,2019-10-26 16:04:20,CLOSED,Tiller order,1,25.5,25.5,16:02:52,Lunch,2018-09-15 12:46:15,75019,FR,EUR
84783680,7786,15509.0,14854.0,2019-07-27 16:10:03,2019-07-27 16:15:24,CLOSED,Tiller iPAD,1,17.2,17.2,16:10:03,Lunch,2018-09-15 12:46:15,75019,FR,EUR
102045506,7786,15509.0,14854.0,2019-11-07 14:12:28,2019-11-07 15:02:21,CLOSED,Tiller order,1,17.8,17.8,14:12:28,Lunch,2018-09-15 12:46:15,75019,FR,EUR
63637684,7786,15509.0,14854.0,2019-03-15 10:06:54,2019-03-15 10:08:51,CLOSED,Tiller iPAD,1,59.8,59.8,10:06:54,Breakfast,2018-09-15 12:46:15,75019,FR,EUR
52236534,7786,15509.0,14854.0,2018-12-12 13:33:22,2018-12-12 13:34:12,CLOSED,Tiller iPAD,1,51.0,51.0,13:33:22,Lunch,2018-09-15 12:46:15,75019,FR,EUR
83570459,7786,15509.0,14854.0,2019-07-20 10:42:04,2019-07-20 10:51:21,CLOSED,Tiller iPAD,1,15.5,15.5,10:42:04,Breakfast,2018-09-15 12:46:15,75019,FR,EUR
85902366,7786,15509.0,14854.0,2019-08-03 13:42:43,2019-08-03 13:58:23,CLOSED,Tiller iPAD,1,67.9,67.9,13:42:43,Lunch,2018-09-15 12:46:15,75019,FR,EUR
89412130,7786,15509.0,14854.0,2019-08-28 09:35:05,2019-08-28 09:35:48,CLOSED,Tiller iPAD,1,61.8,61.8,09:35:05,Breakfast,2018-09-15 12:46:15,75019,FR,EUR
112912195,6830,12894.0,13026.0,2020-01-14 22:06:18,2020-01-14 22:08:10,CLOSED,Tiller iPAD,4,61.1,61.1,22:06:18,Dinner,2018-05-11 11:03:01,75013,FR,EUR
70649595,6830,12894.0,13026.0,2019-05-01 18:52:16,2019-05-01 18:54:03,CLOSED,Tiller iPAD,2,49.84,49.84,18:52:16,Dinner,2018-05-11 11:03:01,75013,FR,EUR
63849872,6830,12894.0,13026.0,2019-03-16 13:01:10,2019-03-16 13:02:52,CLOSED,Tiller iPAD,2,33.0,33.0,13:01:10,Lunch,2018-05-11 11:03:01,75013,FR,EUR
87109467,6830,12894.0,13026.0,2019-08-11 14:11:39,2019-08-11 14:12:00,CLOSED,Tiller iPAD,4,63.5,63.5,14:11:39,Lunch,2018-05-11 11:03:01,75013,FR,EUR
146509077,6830,25560.0,13026.0,2020-10-11 11:41:38,2020-10-11 13:00:08,CLOSED,Tiller order,3,74.0,74.0,11:41:38,Breakfast,2018-05-11 11:03:01,75013,FR,EUR
38294331,6830,12894.0,13026.0,2018-08-12 20:43:40,2018-08-12 21:32:56,CLOSED,Tiller iPAD,2,55.0,55.0,20:43:40,Dinner,2018-05-11 11:03:01,75013,FR,EUR
43568970,6830,12894.0,13026.0,2018-09-29 20:08:32,2018-09-29 20:43:20,CLOSED,Tiller iPAD,4,59.0,59.0,20:08:32,Dinner,2018-05-11 11:03:01,75013,FR,EUR
36183015,6830,12894.0,13026.0,2018-07-22 20:19:41,2018-07-22 20:24:02,CLOSED,Tiller iPAD,4,152.9,152.9,20:19:41,Dinner,2018-05-11 11:03:01,75013,FR,EUR
136852674,6830,25560.0,13026.0,2020-08-08 19:47:41,2020-08-08 19:48:23,CLOSED,Tiller order,0,50.2,50.2,19:47:41,Dinner,2018-05-11 11:03:01,75013,FR,EUR
69501859,6830,12894.0,13026.0,2019-04-23 18:56:44,2019-04-23 19:13:31,CLOSED,Tiller iPAD,4,78.4,78.4,18:56:44,Dinner,2018-05-11 11:03:01,75013,FR,EUR
43916639,6830,12894.0,13026.0,2018-10-03 10:50:58,2018-10-03 17:45:04,CLOSED,Tiller iPAD,2,7.31,7.31,10:50:58,Breakfast,2018-05-11 11:03:01,75013,FR,EUR
80460673,6830,12894.0,13026.0,2019-07-02 20:16:21,2019-07-02 20:29:44,CLOSED,Tiller iPAD,4,39.5,39.5,20:16:21,Dinner,2018-05-11 11:03:01,75013,FR,EUR
53218033,6830,12894.0,13026.0,2018-12-20 12:24:30,2018-12-20 13:32:52,CLOSED,Tiller iPAD,4,146.9,146.9,12:24:30,Lunch,2018-05-11 11:03:01,75013,FR,EUR
68652748,6830,12894.0,13026.0,2019-04-17 19:32:25,2019-04-17 19:38:12,CLOSED,Tiller iPAD,2,34.96,34.96,19:32:25,Dinner,2018-05-11 11:03:01,75013,FR,EUR
112465226,6830,12894.0,13026.0,2020-01-11 20:16:26,2020-01-11 22:40:02,CLOSED,Tiller iPAD,4,60.0,60.0,20:16:26,Dinner,2018-05-11 11:03:01,75013,FR,EUR
114685660,6830,25560.0,13026.0,2020-01-24 22:29:35,2020-01-24 22:30:11,CLOSED,Tiller iPAD,4,35.7,35.7,22:29:35,Dinner,2018-05-11 11:03:01,75013,FR,EUR
71154063,6830,12894.0,13026.0,2019-05-04 20:43:45,2019-05-04 20:47:51,CLOSED,Tiller iPAD,2,55.7,55.7,20:43:45,Dinner,2018-05-11 11:03:01,75013,FR,EUR
51657794,6830,12894.0,13026.0,2018-12-07 12:15:57,2018-12-07 13:02:33,CLOSED,Tiller iPAD,4,25.8,25.8,12:15:57,Lunch,2018-05-11 11:03:01,75013,FR,EUR
98735238,6830,12894.0,13026.0,2019-10-18 19:26:20,2019-10-18 20:13:33,CLOSED,Tiller iPAD,4,40.0,40.0,19:26:20,Dinner,2018-05-11 11:03:01,75013,FR,EUR
50184556,6830,12894.0,13026.0,2018-11-24 21:28:27,2018-11-24 21:34:04,CLOSED,Tiller iPAD,2,179.4,179.4,21:28:27,Dinner,2018-05-11 11:03:01,75013,FR,EUR
96010547,6830,12894.0,13026.0,2019-10-03 19:51:38,2019-10-03 21:21:24,CLOSED,Tiller iPAD,4,94.9,94.9,19:51:38,Dinner,2018-05-11 11:03:01,75013,FR,EUR
113129706,8291,16823.0,15760.0,2020-01-16 11:11:02,2020-01-16 11:11:30,CLOSED,Tiller order,1,11.7,11.7,11:11:02,Breakfast,2018-11-12 08:28:37,75008,FR,EUR
65244054,8291,16823.0,15747.0,2019-03-26 12:45:35,2019-03-26 12:45:39,CLOSED,Tiller iPAD,1,9.9,9.9,12:45:35,Lunch,2018-11-12 08:28:37,75008,FR,EUR
115763520,8291,17650.0,15758.0,2020-01-31 12:11:16,2020-01-31 12:11:30,CLOSED,Tiller order,1,9.9,9.9,12:11:16,Lunch,2018-11-12 08:28:37,75008,FR,EUR
